name,URL_to_harvest,url FIDELIS,FIDELIS member,FAIRsharing ID,remarks
4TU.ResearchData,https://data.4tu.nl/,https://community.data.4tu.nl/,True,2537,
ADP - Social Science Data Archive,https://www.adp.fdv.uni-lj.si/,https://www.adp.fdv.uni-lj.si/,True,6680,
AgroPortal,https://agroportal.lirmm.fr/,https://agroportal.lirmm.fr/,True,2540,repo of ontologies
ARP Research Data Repository,https://repo.researchdata.hu/,https://repo.researchdata.hu/,True,4585,
Austrian NeuroCloud,https://anc.plus.ac.at/index.html,https://anc.plus.ac.at/index.html,True,7250,
BacDive,https://bacdive.dsmz.de/,,False,,
Borealis (Canadian Dataverse Repository),https://borealisdata.ca/,https://borealisdata.ca/,True,2542,
Camtree: the Cambridge Teacher Research Exchange,https://library.camtree.org/home,https://library.camtree.org/home,True,None,
CATH,https://www.cathdb.info/,,False,,
CDS (Copernicus Climate Data Store),https://cds.climate.copernicus.eu/,,False,,
Center for Socio-Political Data (CDSP),https://data.sciencespo.fr/dataverse/cdsp,https://data.sciencespo.fr/dataverse/cdsp,True,4438,
CER - Central Repository,https://cer.ihtm.bg.ac.rs/,https://cer.ihtm.bg.ac.rs/,True,None,
CERN Document Server,https://repository.cern/,,False,,
CLARIN,https://www.clarin.eu/content/national-consortia,https://www.clarin.eu/,True,,
Coscine,https://about.coscine.de/,https://about.coscine.de/,True,5377,RDM platform
CROSSDA,https://www.crossda.hr/,https://www.crossda.hr/,True,4230,
DAIS,https://dais.sanu.ac.rs/,https://dais.sanu.ac.rs/,True,None,
DANS - Life Sciences,https://dans.knaw.nl/nl/life-sciences/,https://dans.knaw.nl/nl/life-sciences/,True,5214,FAIRsharing links https://lifesciences.datastations.nl/
DANS - Social Sciences,https://dans.knaw.nl/nl/social-sciences-and-humanities/,https://dans.knaw.nl/nl/social-sciences-and-humanities/,True,5489,FAIRSharing links https://ssh.datastations.nl/
DASS,https://dass.credi.ba/,https://dass.credi.ba/,True,3345,FAIRsharing name: DASS-BiH
DataRepositóriUM,https://datarepositorium.uminho.pt/,https://datarepositorium.uminho.pt/,True,3845,
DataverseLV,https://dv.dataverse.lv/dataverse/root,https://dv.dataverse.lv/dataverse/root,True,,
DataverseNO,https://site.uit.no/dataverseno/,https://site.uit.no/dataverseno/,True,2955,FAIRsharing links to https://dataverse.no/
DataverseUA,https://opendata.nas.gov.ua/,https://opendata.nas.gov.ua/,True,None,
DTU DATA,https://data.dtu.dk/,https://data.dtu.dk/,True,None,
ESGF (Earth System Grid Federation - EU Node at DKRZ),https://esgf-metagrid.cloud.dkrz.de/search,,False,,
Fairdata Services,https://www.fairdata.fi/,https://www.fairdata.fi/,True,6385,
Finnish Social Science Data Archive,https://www.fsd.tuni.fi/en/,https://www.fsd.tuni.fi/en/,True,2997,
FiVeR,https://fiver.ifvcns.rs/,https://fiver.ifvcns.rs/,True,None,
GESIS- Leibniz Institute for the Social Science,https://www.gesis.org/en/data-services,https://www.gesis.org/en/data-services,True,None,RDM platform incl. repo
GFZ Data Services,https://dataservices.gfz-potsdam.de/web/,,False,,
Goethe University Data Repository (GUDe),https://gude.uni-frankfurt.de/home,https://gude.uni-frankfurt.de/home,True,None,
HOMEROS- Oscars Project,,https://oscars-project.eu/projects/homeros-harmonising-observations-multi-hazard-environments-research-open-science,True,None,project website
INFRA-ART Spectral Library,https://infraart.inoe.ro/,https://infraart.inoe.ro/,True,6329,
INSPIRE,https://inspirehep.net/,,False,,
KU Leuven RDR,https://rdr.kuleuven.be/,https://rdr.kuleuven.be/,True,5905,
LDC (Linguistic Data Consortium),https://www.ldc.upenn.edu/,,False,,
LiDA,https://lida.dataverse.lt/,https://lida.dataverse.lt/,True,4595,
LINDAT CLARIAH-CZ,https://lindat.mff.cuni.cz/,https://lindat.mff.cuni.cz/,True,None,
